nl,code
"if self.data.hour is greater than inreger 12,",if self . data . hour > 12 :
derive the class Command from the AppCommand base class.,class Command ( AppCommand ) :
"if not,",else :
requires_system_checks is boolean False.,requires_system_checks = False
substitute base for m.,m = base
"call the function getInnerText with argument field_node, on the result call the method strip, use the result as an argument for the",value = field . to_python ( getInnerText ( field_node ) . strip ( ) )
substitute level for self.level.,self . level = level
"substitute the resulting list for app_config. if not,",else :
"append string ""Field renamed because it wasn't a valid Python identifier."" to field_notes.","field_notes . append ( ""Field renamed because it wasn't a valid Python identifier."" )"
return res.,return res
"call the method writer.as_string, write the result to file fh.",fh . write ( writer . as_string ( ) )
"create lambda identity function which returns x for input parameter x, return the function.",return lambda x : x
"register.tag decorator,",@ register . tag
substitute self.field.widget for widget.,widget = self . field . widget
call the method self._assert_mutable.,self . _assert_mutable ( )
convert locale to lowercase and return it.,return locale . lower ( )
"if OverflowError or ValueError exceptions are caught,","except ( OverflowError , ValueError ) :"
"definition is an empty dictionary,",definition = { }
"append command.xgettext_options to list containing 15 elements: string 'xgettext', string '-d', domain, string '--language=Python',","args = [ 'xgettext' , '-d' , domain , '--language=Python' , '--keyword=gettext_noop' , '--keyword=gettext_lazy' , '--keyword=ngettext_lazy:1,2' , '--keyword=ugettext_noop' , '--keyword=ugettext_lazy' , '--keyword=ungettext_lazy:1,2' , '--keyword=pgettext:1c,2' , '--keyword=npgettext:1c,2,3' , '--keyword=pgettext_lazy:1c,2' , '--keyword=npgettext_lazy:1c,2,3' , '--output=-' ] + command . xgettext_options"
"if response is None,",if response is None :
"try,",try :
"default is a an empty list and help is a string '(use multiple --exclude to exclude multiple apps/models).'. call the method parser.add_argument with 6 arguments: string '-n', string '--natural', action is string 'store_true', dest is string 'use_natural_keys',","parser . add_argument ( '-n' , '--natural' , action = 'store_true' , dest = 'use_natural_keys' , default = False , help = 'Use natural keys if they are available (deprecated: use --natural-foreign instead).' )"
"if TemplateDoesNotExist exception is caught,",except TemplateDoesNotExist :
self.models is an empty set.,self . models = set ( )
"for every i and tuple containing dirpath and f, in enumerated list of locations,","for i , ( dirpath , f ) in enumerate ( locations ) :"
"empty string for 'field', empty string for 'help_text' and html_class_attr for html_class_attr. append last_row to output.",output . append ( last_row )
"if ValueError exception is caught,",except ValueError :
"if pop_context is true,",if pop_context :
return self.,return self
"define the method __init__ with 3 arguments: self, offset set to None, name set to None.","def __init__ ( self , offset = None , name = None ) :"
"if initial is not None, substitute initial for initial_value, otherwise initial_value is an empty string.",initial_value = initial if initial is not None else ''
"convert arg to an integer, substitute it for p.",p = int ( arg )
"define the method __init__ wiht 5 arguments: self, META, input_data, upload_handlers and encoding set to None.","def __init__ ( self , META , input_data , upload_handlers , encoding = None ) :"
"create dictionary out of the unpacked dictionary options, using defaults.__dict__ as a mapping function, substitute the result for defaults.","defaults = dict ( defaults . __dict__ , ** options )"
return result.,return result
"call the the method __copy__ from the base class of the class Context, substitute the result for duplicate.","duplicate = super ( Context , self ) . __copy__ ( )"
"call the function format_html with 2 arguments: string '<optgroup label=""{0}"">' and return value of the function force_text,","output . append ( format_html ( '<optgroup label=""{0}"">' , force_text ( option_value ) ) )"
"if the value under the 'test_flush' key of the options dictionary exists,","if options . get ( ""test_flush"" , False ) :"
"if basetype equals a string 'text',",if basetype == 'text' :
"register.tag decorator,",@ register . tag
"define the method write_po_file with arguments self, potfile and locale.","def write_po_file ( self , potfile , locale ) :"
"define the function mail_managers with subject, message, fails_silently set to boolean False, connection set to None,","def mail_managers ( subject , message , fail_silently = False , connection = None , html_message = None ) :"
"for every x is the range of integers from level to the integer 2, in the reversed order,","for x in range ( level , 1 , - 1 ) :"
raise an exception.,raise
"call the function pgettext with an argument 'String to return when truncating text', '%(truncated_text)s...', substitute the result for truncate.","truncate = pgettext ( 'String to return when truncating text' , '%(truncated_text)s...' )"
from django.conf import settings into default name space.,from django . conf import settings
"join elements of output into a string, separated by newline characters, return it.",return '\n' . join ( output )
"get the next element of the self._producer iterable, substitute it for output.",output = next ( self . _producer )
define the method listdir with arguments self and path.,"def listdir ( self , path ) :"
"return the result of the method field.widget.value_from_datadict called with 3 arguments: self.data, self.files and prefix.","return field . widget . value_from_datadict ( self . data , self . files , prefix )"
buffer_ is None.,buffer_ = None
"if t is not None,",if t is not None :
define the method __iter__ with argument self.,def __iter__ ( self ) :
substitute self._stream for stream.,stream = self . _stream
return _cached_filenames.,return _cached_filenames
update declared_fields dictionary with entry base.declared_fields.,declared_fields . update ( base . declared_fields )
"call the method self.extra_headers.get with arguments: string 'To' and joined string from self.to elements separated by ', ',","msg [ 'To' ] = self . extra_headers . get ( 'To' , ', ' . join ( self . to ) )"
define the method with reload with an argument self.,def __str__ ( self ) :
substitute gettext_noop for ugettext_noop.,ugettext_noop = gettext_noop
substitute complain for pop.,pop = complain
"otherwise if, type of s doesnt equal to six.text_type,",elif type ( s ) != six . text_type :
"for every item in self.items,",for item in self . items :
"if output is true,",if output :
from django.utils.datastructures import MultiValueDict into default name space.,from django . utils . datastructures import MultiValueDict
"if field.widget.needs_multipart_form is true,",if field . widget . needs_multipart_form :
"use fourth element of version as a key to get the value from mapping dictionary, append to it fourth element of version converted to string, substitute it for sub.",sub = mapping [ version [ 3 ] ] + str ( version [ 4 ] )
substitute the result for exc_value. substitute exc for exc_value.__cause__.,exc_value . __cause__ = exc
"call the os.path.split with argument name, assign the result to the dir_name and file_name respectively.","dir_name , file_name = os . path . split ( name )"
"replace all '%s' from string ""%s: %s%s%s"" with values of obj, id, self.msg and hint, respectively, return the result.","return ""%s: %s%s%s"" % ( obj , id , self . msg , hint )"
"if not,",else :
"self.file is a instance of a class TemporaryUploadedFile initialized with arguments: self.file_name, self.content_type, integer 0,","self . file = TemporaryUploadedFile ( self . file_name , self . content_type , 0 , self . charset , self . content_type_extra )"
where '%s' is replaced with self.__class__.__name__. define the method flush with an argument self.,def flush ( self ) :
substitute the return value of the method self.object_list.count for self._count.,self . _count = self . object_list . count ( )
"if last_row doesnt ends with row_ender,",if not last_row . endswith ( row_ender ) :
return printable representation of self.value.,return repr ( self . value )
from copy import copy into default name space.,from copy import copy
"try,",try :
"call the method self.getvalue, return the result.",return self . getvalue ( )
"try,",try :
"call the function six.text_type with length of lines as an argument,",width = six . text_type ( len ( six . text_type ( len ( lines ) ) ) )
raise an ValidationError with 2 arguments: value under the 'invalid' key of the self.error_messages dictionary and code set to 'invalid'.,"raise ValidationError ( self . error_messages [ 'invalid' ] , code = 'invalid' )"
"if self.max_value is not None,",if self . max_value is not None :
define the function _unpack_ipv4 with an argument ip_str.,def _unpack_ipv4 ( ip_str ) :
define the method A with an argument self.,def A ( self ) :
decorator register.filter.,@ register . filter
from django.utils import six into default name space.,from django . utils import six
"string 'DECIMAL_SEPARATOR', lang and use_l10n set to use_l10n, decimal_pos, result of the function get_format called with 3 arguments: string 'NUMBER_GROUPING', lang and use_l10n as use_l10n, result of the function get_format called with an argument: string 'THOUSAND_SEPARATOR', lang and use_l10n as use_l10n and force_grouping as force_grouping, return the result. define the function localize with 2 arguments value and use_l10n set to None.","def localize ( value , use_l10n = None ) :"
"call the method form.add_prefix with an argument self._pk_field.name,",form . data [ form . add_prefix ( self . _pk_field . name ) ] = None
substitute index for doublecolon_start.,doublecolon_start = index
"if path is not initialized,",if path is None :
"if six.PY2 is true,",if six . PY2 :
"if self.pk_field,",if self . pk_field :
"sum of the result of the function time.time and max_age, substitute it for 'expires' key of the previously returned dictionary. if path is not None,",if path is not None :
"otherwise if field.required is true,",elif field . required :
derive the class EmailField from the base class CharField class.,class EmailField ( CharField ) :
"self.file_permissions_mode is a tuple containing: file_permissions_mode if file_permissions_mode is not None,",self . file_permissions_mode = ( file_permissions_mode if file_permissions_mode is not None else settings . FILE_UPLOAD_PERMISSIONS )
"called with an argument text converted into a floating point number. if ValueError, InvalidOperation, TypeError or UnicodeEncodeError exceptions are caught,","except ( ValueError , InvalidOperation , TypeError , UnicodeEncodeError ) :"
"if second element of url_fields is false,",if not url_fields [ 1 ] :
"convert args into a list, substitute it for args.",args = list ( args )
"get the value under the 'extensions' key of the options dictionary, substitute it for extensions.",extensions = options . get ( 'extensions' )
"if Exception, renamed to e, exception is caught,",except Exception as e :
"join usage and self.help into a string, separated by 2 new line characters, return it.","return '%s\n\n%s' % ( usage , self . help )"
"define the method set_many with self, data, timeout set to DEFAULT_TIMEOUT and version set to None as arguments.","def set_many ( self , data , timeout = DEFAULT_TIMEOUT , version = None ) :"
"for every name in MEDIA_TYPES,",for name in MEDIA_TYPES :
"if attrs is true,",if attrs :
break from the endless loop.,break
do nothing.,pass
call the method self.write_migration_files with an argument changes.,self . write_migration_files ( changes )
return nothing.,return
"from django.conf import settings into default namespace,",from django . conf import settings
"call the function smart_urlquote with an argument middle, substitute the result for url.",url = smart_urlquote ( middle )
define the method utcoffset with 2 arguments self and dt.,"def utcoffset ( self , dt ) :"
define function dictitem with s as an argument.,def dictitem ( s ) :
"if not,",else :
"for every sql in custom_sql,",for sql in custom_sql :
"call the method self._prepare_data with an argument data, substitute the result for data.",data = self . _prepare_data ( data )
"if self.field.empty_label is not None,",if self . field . empty_label is not None :
"value is an instance of ConvertingList class, created with an argument value.",value = ConvertingList ( value )
close file file.,file . close ( )
return boolean False.,return False
substitute fields for self.fields.,self . fields = fields
derive the class InputStreamExhausted from the Exception base class.,class InputStreamExhausted ( Exception ) :
"and unpacked dictionary kwargs. call the function iri_to_uri with an argument redirect_to, substitute the result for the value under the 'Location' key of the self dictionary.",self [ 'Location' ] = iri_to_uri ( redirect_to )
"if size is not zero,",if size :
derive the class BaseModelForm from the BaseForm base class.,class BaseModelForm ( BaseForm ) :
"while path is true,",while path :
"define the method render with 4 arguments: self, name, value and attrs set to None.","def render ( self , name , value , attrs = None ) :"
call the function shutil.rmtree with 2 arguments: path_to_remove and onerror set to rmtree_errorhandler.,"shutil . rmtree ( path_to_remove , onerror = rmtree_errorhandler )"
"if last element of pieces is true,",if pieces [ - 1 ] :
"with an argument message for 'message', or if not message for 'message' and error.code for 'code' in error.code is true, if not, an empty string for 'code'. return errors.",return errors
substitute key for result.key.,result . key = key
"call the field.rel.to._meta.get_field method with an field.rel.field_name argument, on the result call the method to_python,",obj_pk = field . rel . to . _meta . get_field ( field . rel . field_name ) . to_python ( field_value )
"call the BaseConverter function with BASE36_ALPHABET as argument, store the result in base36.",base36 = BaseConverter ( BASE36_ALPHABET )
"otherwise if token_string starts with COMMENT_TAG_START,",elif token_string . startswith ( COMMENT_TAG_START ) :
define the method render with an argument self.,def render ( self ) :
call the method LocaleRegexProvider.__init__ with arguments self and regex.,"LocaleRegexProvider . __init__ ( self , regex )"
"property decorator,",@ property
"define the function exec with 3 arguments: _code_, _globs_ set to None and _locs_ set to None.","def exec_ ( _code_ , _globs_ = None , _locs_ = None ) :"
call the method parser.delete_first_token.,parser . delete_first_token ( )
"call the function func with 2 arguments: unpacked list args and unpacked dictionary kwargs,","return mark_safe ( func ( * args , ** kwargs ) )"
raise an TypeError exception with an argument string 'other_dict must be a mapping (dictionary-like) object.'.,raise TypeError ( 'other_dict must be a mapping (dictionary-like) object.' )
"if memo is None,",if memo is None :
"get the value under the value key of a dictionary with 6 entries: boolean True for '2', boolean True for boolean True,","return { '2' : True , True : True , 'True' : True , '3' : False , 'False' : False , False : False } . get ( value , None )"
"for every field in unique_check, if field is contained in form.cleaned_data. create a generator that for every d in row_data, if d has an '_get_pk_val' attribute,","row_data = tuple ( d . _get_pk_val ( ) if hasattr ( d , '_get_pk_val' ) else d for d in row_data )"
return message.,return message
return result.,return result
if return value of the function connection.introspection.table_name_converter called with an arugment: model._meta.db_table is contained in table_names,if connection . introspection . table_name_converter ( model . _meta . db_table ) in table_names :
define the method __iter__ with an argument self.,def __iter__ ( self ) :
and unpacked dictionary kwargs. define the method clean with 2 arguments: self and value.,"def clean ( self , value ) :"
"call the method setlistdefault from the base class of the class QueryDict, with arguments key and default_list, return the result.","return super ( QueryDict , self ) . setlistdefault ( key , default_list )"
"if IOError, renamed to e, exception is caught,",except IOError as e :
"if protocol is not equal to string 'both' and unpack_ipv4 is true,",if protocol != 'both' and unpack_ipv4 :
"""to %s because it doesn't define __str__()."", replace %s with string value of klass.__name__. substitute __str__ filed of klass for __unicode__ field of klass.",klass . __unicode__ = klass . __str__
substitute hashlib.sha256 for digest.,digest = hashlib . sha256
call the method self.add_fallback with an argument default_translation.,self . add_fallback ( default_translation )
"split first element of hextet into parts by ':', append them to new_ip.",new_ip = hextet [ 0 ] . split ( ':' )
"if not self._mutable,",if not self . _mutable :
substitute style_func for self.style_func.,self . style_func = style_func
"for every app_name and model_list in return value of manifest.items function,","for app_name , model_list in manifest . items ( ) :"
set old_method_name attribute of the base object to the result of the function wrapper called with an argument old_method.,"setattr ( base , old_method_name , wrapper ( old_method ) )"
"call the method field.widget.value_from_datadict with 3 arguments: self.data, self.files, prefixed_name, substitute the result for data_value.","data_value = field . widget . value_from_datadict ( self . data , self . files , prefixed_name )"
"decrement t by integer 1,",t -= 1
"return an empty string,",return ''
"if '.' is contained in words or '@' is contained in word or ':' is contained in word,",if '.' in word or '@' in word or ':' in word :
remove first element of result from self.keyOrder dictionary.,self . keyOrder . remove ( result [ 0 ] )
"open out_log file in append mode with buffering size of the input buffer, substitute the result for sys.stdout.","sys . stdout = open ( out_log , 'a' , buffering )"
"append string 'max_digits and decimal_places have been guessed, as this database handles decimal fields as float' to field_notes.","field_notes . append ( 'max_digits and decimal_places have been guessed, as this ' 'database handles decimal fields as float' )"
"divide since by seconds, store the floored result in count.",count = since // seconds
define the method H with an argument self.,def H ( self ) :
"if self.match is None or call to the method self.match_re.search with an argument f, evaluated to true,",if self . match is None or self . match_re . search ( f ) :
error is an instance of ValidationError created with an argument error.,error = ValidationError ( error )
"substitute the result for connection. get the value under the 'table_name_filter' key of the options dictionary, substitute it for table_name_filter.",table_name_filter = options . get ( 'table_name_filter' )
"if incremental is true,",if not incremental :
"try,",try :
"if 'class' is contained in attrs,",if 'class' in attrs :
"if cache is None,",if cache is None :
"call the method six.iteritems with an argument base.base_fields, convert it to a list and append fields to it, substitute the result for fields.",fields = list ( six . iteritems ( base . base_fields ) ) + fields
"if m is not None,",if m is not None :
call the method __init__ from the base class of the DTDForbidden class.,"super ( DTDForbidden , self ) . __init__ ( )"
"get name attribute of the self._out object, return it.","return getattr ( self . _out , name )"
"for every app and names in key, value tuple pairs of conflicts dictionary join names into a string separated by commas,","name_str = ""; "" . join ( ""%s in %s"" % ( "", "" . join ( names ) , app ) for app , names in conflicts . items ( ) )"
"define the method resolve with 3 arguments: self, context and ignore_failures set to boolean False.","def resolve ( self , context , ignore_failures = False ) :"
derive the class Node from object base class.,class Node ( object ) :
"define the method has_error with 3 arguments: self, field and code set to None.","def has_error ( self , field , code = None ) :"
"define the __init__ method with 5 arguments: self, urlconf_name, default_kwargs set to None, app_name set to None and namespace set to None.","def __init__ ( self , urlconf_name , default_kwargs = None , app_name = None , namespace = None ) :"
define the function handle_default_options with an argument options.,def handle_default_options ( options ) :
"from yaml import SafeLoader, SafeDumper into default name space.","from yaml import SafeLoader , SafeDumper"
define the method s with an argument self.,def s ( self ) :
return None.,return None
"try,",try :
style is an instance of the dummy class.,style = dummy ( )
from django.core.mail.backends.base import BaseEmailBackend into default name space.,from django . core . mail . backends . base import BaseEmailBackend
define the function lru_cache with 2 arguments maxsize set to integer 100 and typed set to boolean False.,"def lru_cache ( maxsize = 100 , typed = False ) :"
"call the method imatch.group with an argument integer 2, use the result as an argument for the call to the method context_re.match,",context_match = context_re . match ( imatch . group ( 2 ) )
"define the method get_many with 3 arguments: self, keys, and version set to None.","def get_many ( self , keys , version = None ) :"
from __future__ import unicode_literals into default name space.,from __future__ import unicode_literals
define the method __delitem__ with 2 arguments: self and key.,"def __delitem__ ( self , key ) :"
from __future__ import unicode_literals into default name space.,from __future__ import unicode_literals
len_item is integer 1.,len_item = 1
"replace '%s' in string ""processing locale %s\n"" with locale, write it to self.stdout.","self . stdout . write ( ""processing locale %s\n"" % locale )"
"under the BLOCK_CONTEXT_KEY key of render_context dictionary dictionary evaluates to be not equal to None, call the method self.render with an argument self.context, use it as an argument for the call to the mark_safe function, return the result.",return mark_safe ( self . render ( self . context ) )
"create a printable representation of self.urlconf_name object, substitute it for urlconf_repr.",urlconf_repr = repr ( self . urlconf_name )
define the function phone2numeric_filter with an argument value.,def phone2numeric_filter ( value ) :
child_nodelists is an tuple with 2 elements: strings 'nodelist_loop' and 'nodelist_empty'.,"child_nodelists = ( 'nodelist_loop' , 'nodelist_empty' )"
"return string '(NOT (%s: %s))', formated with self.connector and string created by joining c into a string, separated by ', ',","return '(NOT (%s: %s))' % ( self . connector , ', ' . join ( [ str ( c ) for c in self . children ] ) )"
skip this loop iteration.,continue
"_version is a string ""2.0"".","_version = ""2.0"""
"call the result.rsplit method with arguments self.sep and integer 1, substitute the result for value and timestamp, respectively.","value , timestamp = result . rsplit ( self . sep , 1 )"
"with the result renamed to fp, perform the following: write msgs to fp.",fp . write ( msgs )
define the function escapejs_filter with an argument value.,def escapejs_filter ( value ) :
"return the result of the method self._html_output, called with 5 arguments: normal_row to a string,","return self . _html_output ( normal_row = '<li%(html_class_attr)s>%(errors)s%(label)s %(field)s%(help_text)s</li>' , error_row = '<li>%s</li>' , row_ender = '</li>' , help_text_html = ' <span class=""helptext"">%s</span>' , errors_on_separate_row = False )"
return val.,return val
"if KeyError exception is caught,",except KeyError :
define the method __nonzero__ with an argument self.,def __nonzero__ ( self ) :
"if the boolean return vale of the call to the function is_protected_type(s) and string_onlys are boolean True,",if strings_only and is_protected_type ( s ) :
"if ttl is not None,",if ttl is not None :
"_assertRaisesRegex is a strnig ""assertRaisesRegexp"".","_assertRaisesRegex = ""assertRaisesRegexp"""
"if date is not None,",if date is not None :
define the method load with self class instance and rawdata as arguments.,"def load ( self , rawdata ) :"
define the method _isdst with 2 arguments self and dt.,"def _isdst ( self , dt ) :"
define the method decompress with 2 arguments: self and value.,"def decompress ( self , value ) :"
"call the function re.compile with an argument raw string ""(?<!%)%(?!%)"", substitute the result for one_percent_re.","one_percent_re = re . compile ( r""""""(?<!%)%(?!%)"""""" )"
"with return value of the function io.open with fname and string 'rb' as arguments, named as f,","with io . open ( fd , 'wb' ) as f :"
call the method self.reset.,self . reset ( )
return an empty string.,return ''
"try,",try :
"if base has an attribute 'declared_fields',","if hasattr ( base , 'declared_fields' ) :"
derive the class FileSystemStorage from the Storage base class.,class FileSystemStorage ( Storage ) :
import module sys.,import sys
return response.,return response
"and unpacked dictionary kwargs, return the result. property decorator,",@ property
"if fields is not None and f.name is not contained in fields,",if fields is not None and f . name not in fields :
"if OSError, renamed to err, is caught,",except OSError as err :
from functools import reduce into default name space.,from functools import reduce
"property decorator,",@ property
"if num_entries is lesser than self._max_entries,",if num_entries < self . _max_entries :
"call the method __init__ from the base class of the EmailMultiAlternatives class, with 9 arguments: subject, body, from_email, to,","super ( EmailMultiAlternatives , self ) . __init__ ( subject , body , from_email , to , bcc , connection , attachments , headers , cc )"
must_be_first is boolean True.,must_be_first = True
return self.file.,return self . file
"and use it as the name of the attribute to get from the self object, call the result and append it to a list for every name in MEDIA_TYPES, join all the results into a string with newline separator, use the result as an argument for the call to the function mark_safe, return the result. define the method render_js with an argument self.",def render_js ( self ) :
"evaluate the function timesince with d, now and reversed set to boolean true as arguments, return the result.","return timesince ( d , now , reversed = True )"
return last rollback elements of chunk.,return chunk [ : - rollback ]
return self.s.,return self . s
write msg to self.stderr stream.,self . stdout . write ( msg )
if ImportError exception is caught.,except ImportError :
"if not,",else :
return data.,return data
"if script_url is true,",if script_url :
"call the function zlib.compress with an argument data, substitute the result for compressed.",compressed = zlib . compress ( data )
"open filename file in write mode, with the file descriptor renamed to outfile, perform,","with open ( filename , 'wb' ) as outfile :"
"get value under the key settings.CACHE_MIDDLEWARE_ALIAS of caches dictionary, substitute with it the cache.",cache = caches [ settings . CACHE_MIDDLEWARE_ALIAS ]
"if source is an instance of Group class,","if isinstance ( source , Group ) :"
"RemovedInDjango19Warning and stacklevel set to integer 2. if data is None or data is an instance of dict type,","if data is None or isinstance ( data , dict ) :"
return content.,return content
"remove elements under the 'path' key of the kwargs dictionary, if it exists substitute it for path, if not path is None.","path = kwargs . pop ( 'path' , None )"
from django.utils.encoding import force_bytes into default name space.,from django . utils . encoding import force_bytes
"if value is contained in self.empty_values,",if value in self . empty_values :
"call the function force_text with an argument truncate, substitute the result for truncate.",truncate = force_text ( truncate )
"if new_attr is None,",if new_attr is None :
"if cc is true,",if cc :
"get the index of the first occurrence of tagname, substitute it for i.",i = open_tags . index ( tagname )
"try,",try :
"if not,",else :
"if options is true,",if options :
"if not,",else :
"if obj.pk is None,",if obj . pk is None :
"if chunk is None,",if chunk is None :
"define the method bound_data with arguments self, data and initial.","def bound_data ( self , data , initial ) :"
"call the function apps.get_app_configs, for every app_config in result,",for app_config in apps . get_app_configs ( ) :
"if token.token_type equals TOKEN_BLOCK and token.contents equals endtag,",if token . token_type == TOKEN_BLOCK and token . contents == endtag :
"if string '()' is contained in config,",if '()' in config :
"get the value under the 'id' key of the final_attrs dictionary, substitute it for id_, if it doesnt exists, id_ is None.","id_ = final_attrs . get ( 'id' , None )"
"and unpacked dictionary kwargs. call the __init__ method from the base class of the StreamingHttpResponse class, called with arguments: unpacked list args,","super ( StreamingHttpResponse , self ) . __init__ ( * args , ** kwargs )"
define the __getitem__ method with self and alias arguments.,"def __getitem__ ( self , alias ) :"
"for every ext in combo, if ext is true, join it to a string, separated by '.', put the result in a tuple,","suffixes = ( '.' . join ( ext for ext in combo if ext ) for combo in product ( databases , ser_fmts , cmp_fmts ) )"
"if func is None,",if func is None :
"join trans_bit into a string separated with whitespaces, substitute the result for bit.",bit = ' ' . join ( trans_bit )
derive the class ErrorList from the UserList and list base classes.,"class ErrorList ( UserList , list ) :"
"call the function force_text with an argument formatstr, use the result as an argument for the call to the method,","for i , piece in enumerate ( re_formatchars . split ( force_text ( formatstr ) ) ) :"
call the method archive.extract with arguments: filename and tempdir.,"archive . extract ( filename , tempdir )"
from django.core.mail.backends.base import BaseEmailBackend into default name space.,from django . core . mail . backends . base import BaseEmailBackend
form._meta.fields is a list created out of form._meta.fields elements.,form . _meta . fields = list ( form . _meta . fields )
"call the function local, substitute the result _urlconf.",_urlconfs = local ( )
raise an exception.,raise
substitute last for value under the PREV key of the link dictionary.,link [ PREV ] = last
substitute unicode for text_type.,text_type = unicode
call the method self.unclosed_block_tag with an argument parse_until.,self . unclosed_block_tag ( parse_until )
substitute value under name key of handlers dictionary for handler_config.,handler_config = handlers [ name ]
"substitute the result for value under the 'microsecond' key of the kw dictionary. remove entry under the 'tzinfo' key of the kw dictionary, substitute it for tzinfo.",tzinfo = kw . pop ( 'tzinfo' )
"decrement self.waiting_writers by integer 1,",self . waiting_writers -= 1
import module os.,import os
call the method value.encode with an argument charset.,value . encode ( charset )
"and help is a string 'Module paths to test; can be modulename, modulename.TestCase or modulename.TestCase.test_method'. call the method parser.add_argument with 5 arguments: string '--noinput', action set to 'store_false', dest set to 'interactive',","parser . add_argument ( '--noinput' , action = 'store_false' , dest = 'interactive' , default = True , help = 'Tells Django to NOT prompt the user for input of any kind.' ) ,"
"allow_files set to boolean True, allow_folders set to boolean False, required set to boolean True, widget set to None, label set to None, initial set to None, help_text set to an empty string, unpacked list args, unpacked dictionary kwargs. substitute path, match and recursive for self.path, self.match and self.recursive.","self . path , self . match , self . recursive = path , match , recursive"
"unpack dictionary kwargs, map it through self.attrs and convert to dictionary, substitute the result for attrs.","attrs = dict ( self . attrs , ** kwargs )"
append label_output to output.,output . append ( label_output )
"for every field in return value of the function _parse_date_fmt,",for field in _parse_date_fmt ( ) :
raise an ImportError exception.,raise ImportError
from __future__ import unicode_literals into default name space.,from __future__ import unicode_literals
"call the method _isdst with an argument dt from the base class of the class LocalTimezone, return the result.","return super ( LocalTimezone , self ) . _isdst ( dt )"
increment self.active_writers by 1.,self . active_writers += 1
"define the method get with 4 arguments, self class instance, key, default set to None and version set to None.","def get ( self , key , default = None , version = None ) :"
import module mimetypes.,import mimetypes
"if password is None substitute settings.EMAIL_HOST_PASSWORD for self.username, if not substitute password for self.password.",self . password = settings . EMAIL_HOST_PASSWORD if password is None else password
"call the function new_method_proxy with an argument bool, substitute the result for __bool__.",__bool__ = new_method_proxy ( bool )
"if not,",else :
"if not,",else :
"get _assertCountEqual attribute of the self object, call the result with 2 arguments: unpacked list args,","return getattr ( self , _assertCountEqual ) ( * args , ** kwargs )"
"raise an base.DeserializationError exception with an argument string ""Invalid model identifier: '%s'"", where '%s' is replaced with model_identifier.","raise base . DeserializationError ( ""Invalid model identifier: '%s'"" % model_identifier )"
where '%s' is replaced with final_path and base_path. return final_path.,return final_path
return an empty string.,return ''
"call the method out.getvalue, return the result.",return out . getvalue ( )
"call the function post_callback with an argument retval, substitute the result for newretval.",newretval = post_callback ( retval )
"if not,",else :
"call the method s.render with 3 arguments: field string formated with name, val and local_attrs, substitute the result for select_html.","select_html = s . render ( field % name , val , local_attrs )"
"call the force_str function with an argument value, substitute the result for value.",value = force_str ( value )
derive the class SafeMIMEMultipart from the MIMEMixin and MIMEMultipart base class.,"class SafeMIMEMultipart ( MIMEMixin , MIMEMultipart ) :"
call the method context.render_context.push.,context . render_context . push ( )
"try,",try :
decorator function register.filter with an argument is_safe set to boolean False.,@ register . filter ( is_safe = False )
"split s into parts by '.', substitute the result for name.",name = s . split ( '.' )
"and help set to 'Fixture labels.'. call the method parser.add_argument with 5 arguments: string '--database', action set to string 'store', dest as a string 'database',","parser . add_argument ( '--database' , action = 'store' , dest = 'database' , default = DEFAULT_DB_ALIAS , help = 'Nominates a specific database to load ' 'fixtures into. Defaults to the ""default"" database.' )"
"define the method __init__ with 3 arguments: self, value and text.","def __init__ ( self , value , text ) :"
define the function add_metaclass with an argument metaclass.,def add_metaclass ( metaclass ) :
return boolean False.,return False
derive the class Library form the base class object.,class Library ( object ) :
"if character is not equal to a string '.',",if character != '.' :
"raise an base.DeserializationError exception with an argument string ""<%s> node has invalid model identifier: '%s'"",","raise base . DeserializationError ( ""<%s> node has invalid model identifier: '%s'"" % ( node . nodeName , model_identifier ) )"
return commands.,return commands
"if not,",else :
"call the field.to_python method with field_value, substitute the result for field.name key of the data dictionary.",data [ field . name ] = field . to_python ( field_value )
"try,",try :
derive the class Operator from the base class TokenBase.,class Operator ( TokenBase ) :
"define the method resolve_expression with 3 arguments: self, obj and context.","def resolve_expression ( self , obj , context ) :"
derive the class HttpResponseGone from the HttpResponse base class.,class HttpResponseGone ( HttpResponse ) :
"return an instance of SafeBytes, created with an argument t.",return SafeBytes ( t )
"if commit is true and form has an attribute 'save_m2m',","if commit and hasattr ( form , 'save_m2m' ) :"
"define the method render with 5 arguments: self, name, value, attrs set to None and choices set to an empty tuple.","def render ( self , name , value , attrs = None , choices = ( ) ) :"
"call the self.get_dum_object method with an argument obj, use the result as an argument for the self.objects.append method.",self . objects . append ( self . get_dump_object ( obj ) )
"call the function new_method_proxy with an argument operator.ne, substitute the result for __ne__.",__ne__ = new_method_proxy ( operator . ne )
return self.,return self
substitute length of values for len_values.,len_values = len ( values )
self._raw_ipv6 is boolean True.,self . _raw_ipv6 = True
if ImportError exception is caught.,except ImportError :
return obj.,return obj
from .html_parser import HTMLParser and HTMLParseError into default name space.,"from . html_parser import HTMLParser , HTMLParseError"
decorator function register.filter with an argument is_safe set to boolean True.,@ register . filter ( is_safe = True )
"get the value under the LANGUAGE_SESSION_KEY key of the request.session dictionary, substitute it for lang_code.",lang_code = request . session . get ( LANGUAGE_SESSION_KEY )
